resp,fqweight,urban,region,age,educattgen,marstat,abortion,hdi,hdi_c
1650,2.90652441978455,rural,central 2,19,secondary/post-primary,never married,0,0.586,0.990358969869679
1651,1.16218483448029,urban,north,17,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
1652,0.790351390838623,rural,central 2,27,primary/middle school,currently married,0,0.586,0.990358969869679
1653,0.356312274932861,urban,kampala,21,secondary/post-primary,divorced or separated,0,0.639,1.9602453067111254
1654,1.04114174842834,rural,western,10,primary/middle school,never married,0,0.499,-0.6017186019266556
1655,0.275290846824646,rural,karamoja,30,never attended,currently married,0,0.45,-1.4984059699498786
1656,0.981557369232178,rural,north,9,tertiary/post-secondary,never married,0,0.475,-1.0409124148359898
1657,0.184424161911011,rural,karamoja,17,never attended,currently married,0,0.45,-1.4984059699498786
1658,0.403276950120926,rural,karamoja,18,never attended,currently married,0,0.45,-1.4984059699498786
1659,2.6398618221283,rural,central 1,19,secondary/post-primary,currently married,0,0.54,0.14857082846012368
1660,2.20405745506287,rural,eastern,23,primary/middle school,currently married,0,0.526,-0.10762556240365462
1661,1.62163639068604,urban,central 1,18,secondary/post-primary,divorced or separated,1,0.54,0.14857082846012368
1662,0.688387393951416,rural,south west,21,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
1663,0.21895606815815,urban,kampala,16,primary/middle school,currently married,0,0.639,1.9602453067111254
1664,2.11354660987854,rural,central 1,40,primary/middle school,currently living with partner,0,0.54,0.14857082846012368
1665,0.790351390838623,rural,central 2,15,primary/middle school,currently living with partner,0,0.586,0.990358969869679
1666,0.756367683410645,urban,south west,28,secondary/post-primary,currently married,0,0.518,-0.2540235000400994
1667,0.462453693151474,rural,west nile,24,secondary/post-primary,currently married,0,0.486,-0.8396152505858784
1668,0.356312274932861,urban,kampala,23,primary/middle school,currently living with partner,0,0.639,1.9602453067111254
1669,0.400493562221527,urban,kampala,21,primary/middle school,divorced or separated,1,0.639,1.9602453067111254
1670,1.16218483448029,urban,north,35,primary/middle school,currently married,0,0.475,-1.0409124148359898
1671,0.71438992023468,rural,south west,12,secondary/post-primary,currently living with partner,0,0.518,-0.2540235000400994
1672,0.562493979930878,rural,east central,39,never attended,currently living with partner,0,0.53,-0.03442659358543225
1673,0.405174255371094,rural,east central,26,primary/middle school,divorced or separated,0,0.53,-0.03442659358543225
1674,2.01047205924988,rural,eastern,18,secondary/post-primary,currently married,0,0.526,-0.10762556240365462
1675,0,urban,kampala,29,never attended,divorced or separated,0,0.639,1.9602453067111254
1676,0.774413764476776,urban,kampala,40,tertiary/post-secondary,currently married,1,0.639,1.9602453067111254
1677,3.62319445610046,urban,central 2,22,tertiary/post-secondary,currently living with partner,0,0.586,0.990358969869679
1678,0.221876218914986,rural,karamoja,38,never attended,divorced or separated,0,0.45,-1.4984059699498786
1679,0.521850943565369,urban,kampala,14,secondary/post-primary,currently living with partner,0,0.639,1.9602453067111254
1680,0.756367683410645,urban,south west,40,never attended,currently living with partner,1,0.518,-0.2540235000400994
1681,0.455407708883286,urban,kampala,27,secondary/post-primary,divorced or separated,0,0.639,1.9602453067111254
1682,0.227233305573463,rural,karamoja,18,never attended,currently living with partner,0,0.45,-1.4984059699498786
1683,0.21895606815815,urban,kampala,15,secondary/post-primary,divorced or separated,1,0.639,1.9602453067111254
1684,2.20405745506287,rural,eastern,6,primary/middle school,never married,0,0.526,-0.10762556240365462
1685,0.715515851974487,rural,east central,35,primary/middle school,divorced or separated,0,0.53,-0.03442659358543225
1686,0.267083436250687,urban,kampala,24,secondary/post-primary,currently married,0,0.639,1.9602453067111254
1687,0.521850943565369,urban,kampala,12,primary/middle school,never married,0,0.639,1.9602453067111254
1688,0.221876218914986,rural,karamoja,36,primary/middle school,currently married,0,0.45,-1.4984059699498786
1689,0.743305802345276,urban,east central,35,never attended,divorced or separated,1,0.53,-0.03442659358543225
1690,0.981557369232178,rural,north,25,secondary/post-primary,never married,0,0.475,-1.0409124148359898
1691,0.533117592334747,rural,east central,37,primary/middle school,currently married,0,0.53,-0.03442659358543225
1692,0.320326715707779,urban,karamoja,38,never attended,widow or widower,0,0.45,-1.4984059699498786
1693,1.2542210817337,rural,eastern,18,primary/middle school,currently married,0,0.526,-0.10762556240365462
1694,1.07834649085999,rural,west nile,14,primary/middle school,currently married,0,0.486,-0.8396152505858784
1695,1.08199954032898,rural,east central,16,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
1696,0.67438161373138406,rural,north,36,never attended,currently married,0,0.475,-1.0409124148359898
1697,1.73442399501801,rural,eastern,29,primary/middle school,currently married,0,0.526,-0.10762556240365462
1698,1.03977906703949,rural,west nile,12,primary/middle school,currently married,0,0.486,-0.8396152505858784
1699,1.03977906703949,rural,west nile,31,never attended,currently living with partner,0,0.486,-0.8396152505858784
1700,2.11354660987854,rural,central 1,28,primary/middle school,currently married,0,0.54,0.14857082846012368
1701,0.569035053253174,urban,east central,9,primary/middle school,currently married,0,0.53,-0.03442659358543225
1702,2.20405745506287,rural,eastern,23,tertiary/post-secondary,currently living with partner,0,0.526,-0.10762556240365462
1703,0.652295649051666,rural,north,27,primary/middle school,currently married,0,0.475,-1.0409124148359898
1704,1.27649021148682,rural,eastern,22,primary/middle school,currently married,0,0.526,-0.10762556240365462
1705,1.27590298652649,rural,central 2,16,primary/middle school,currently living with partner,0,0.586,0.990358969869679
1706,0.726765990257263,rural,west nile,16,primary/middle school,currently married,0,0.486,-0.8396152505858784
1707,0.624094724655151,rural,south west,11,primary/middle school,divorced or separated,0,0.518,-0.2540235000400994
1708,1.82856130599976,rural,south west,36,primary/middle school,currently married,0,0.518,-0.2540235000400994
1709,0.880152344703674,rural,north,11,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
1710,1.76136827468872,rural,central 2,22,never attended,currently living with partner,0,0.586,0.990358969869679
1711,0.870838284492493,urban,west nile,35,primary/middle school,currently married,0,0.486,-0.8396152505858784
1712,1.91893446445465,rural,western,11,primary/middle school,currently married,0,0.499,-0.6017186019266556
1713,1.91893446445465,rural,western,19,primary/middle school,currently living with partner,0,0.499,-0.6017186019266556
1714,1.16218483448029,urban,north,12,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
1715,1.08436417579651,rural,eastern,11,secondary/post-primary,never married,0,0.526,-0.10762556240365462
1716,1.74646699428558,rural,western,10,primary/middle school,never married,0,0.499,-0.6017186019266556
1717,0.732630848884583,rural,north,10,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
1718,0.779856145381927,rural,east central,21,secondary/post-primary,divorced or separated,0,0.53,-0.03442659358543225
1719,1.00986623764038,rural,east central,30,primary/middle school,currently married,0,0.53,-0.03442659358543225
1720,1.51590502262115,rural,eastern,26,primary/middle school,currently married,0,0.526,-0.10762556240365462
1721,0.735556721687317,rural,south west,28,secondary/post-primary,currently married,0,0.518,-0.2540235000400994
1722,1.76136827468872,rural,central 2,9,primary/middle school,currently living with partner,0,0.586,0.990358969869679
1723,2.01047205924988,rural,eastern,11,never attended,currently living with partner,0,0.526,-0.10762556240365462
1724,2.6398618221283,rural,central 1,10,primary/middle school,currently married,0,0.54,0.14857082846012368
1725,1.62163639068604,urban,central 1,17,tertiary/post-secondary,currently living with partner,0,0.54,0.14857082846012368
1726,0.688387393951416,rural,south west,37,never attended,divorced or separated,0,0.518,-0.2540235000400994
1727,0.227233305573463,rural,karamoja,37,never attended,currently living with partner,0,0.45,-1.4984059699498786
1728,0.7029869556427,rural,north,30,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
1729,1.16218483448029,urban,north,27,never attended,currently living with partner,0,0.475,-1.0409124148359898
1730,0.405174255371094,rural,east central,13,secondary/post-primary,currently living with partner,1,0.53,-0.03442659358543225
1731,0.726765990257263,rural,west nile,19,primary/middle school,divorced or separated,0,0.486,-0.8396152505858784
1732,0.649448990821838,urban,kampala,9,secondary/post-primary,never married,0,0.639,1.9602453067111254
1733,0.688387393951416,rural,south west,40,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
1734,1.27649021148682,rural,eastern,10,primary/middle school,currently living with partner,0,0.526,-0.10762556240365462
1735,1.73442399501801,rural,eastern,11,primary/middle school,divorced or separated,0,0.526,-0.10762556240365462
1736,1.23874318599701,rural,eastern,16,primary/middle school,currently married,0,0.526,-0.10762556240365462
1737,0.813002467155457,rural,west nile,15,primary/middle school,currently married,0,0.486,-0.8396152505858784
1738,0.743305802345276,urban,east central,11,secondary/post-primary,never married,0,0.53,-0.03442659358543225
1739,1.10726463794708,rural,west nile,16,primary/middle school,currently married,1,0.486,-0.8396152505858784
1740,0.413919627666473,urban,kampala,11,tertiary/post-secondary,never married,0,0.639,1.9602453067111254
1741,1.2542210817337,rural,eastern,21,primary/middle school,currently married,0,0.526,-0.10762556240365462
1742,1.23874318599701,rural,eastern,26,never attended,currently married,0,0.526,-0.10762556240365462
1743,2.01047205924988,rural,eastern,10,primary/middle school,divorced or separated,0,0.526,-0.10762556240365462
1744,1.07834649085999,rural,west nile,15,primary/middle school,currently married,0,0.486,-0.8396152505858784
1745,2.90652441978455,rural,central 2,29,primary/middle school,divorced or separated,0,0.586,0.990358969869679
1746,1.26523149013519,urban,central 2,24,secondary/post-primary,currently married,0,0.586,0.990358969869679
1747,0.9742192029953,rural,central 2,17,primary/middle school,divorced or separated,0,0.586,0.990358969869679
1748,0.403276950120926,rural,karamoja,14,never attended,currently married,0,0.45,-1.4984059699498786
1749,0.356312274932861,urban,kampala,13,secondary/post-primary,never married,0,0.639,1.9602453067111254
1750,0.573298931121826,rural,north,11,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
1751,0.771679103374481,rural,south west,15,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
1752,0.393813788890839,urban,kampala,33,secondary/post-primary,currently married,1,0.639,1.9602453067111254
1753,0.387008875608444,urban,kampala,22,secondary/post-primary,currently married,0,0.639,1.9602453067111254
1754,2.6398618221283,rural,central 1,29,tertiary/post-secondary,currently living with partner,0,0.54,0.14857082846012368
1755,0.327350169420242,urban,kampala,12,primary/middle school,currently living with partner,0,0.639,1.9602453067111254
1756,2.01047205924988,rural,eastern,8,primary/middle school,currently married,0,0.526,-0.10762556240365462
1757,1.03977906703949,rural,west nile,17,primary/middle school,currently married,1,0.486,-0.8396152505858784
1758,0,urban,kampala,15,never attended,never married,0,0.639,1.9602453067111254
1759,0.813002467155457,rural,west nile,15,primary/middle school,currently married,0,0.486,-0.8396152505858784
1760,0.756367683410645,urban,south west,36,never attended,widow or widower,0,0.518,-0.2540235000400994
1761,0.573298931121826,rural,north,10,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
1762,0.569035053253174,urban,east central,29,primary/middle school,currently married,0,0.53,-0.03442659358543225
1763,2.03499150276184,rural,east central,13,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
1764,0.756367683410645,urban,south west,24,primary/middle school,currently married,0,0.518,-0.2540235000400994
1765,1.23874318599701,rural,eastern,14,primary/middle school,currently living with partner,0,0.526,-0.10762556240365462
1766,0.403276950120926,rural,karamoja,20,never attended,currently married,0,0.45,-1.4984059699498786
1767,0.726765990257263,rural,west nile,34,primary/middle school,currently married,1,0.486,-0.8396152505858784
1768,0.688387393951416,rural,south west,39,never attended,currently living with partner,0,0.518,-0.2540235000400994
1769,0.67438161373138406,rural,north,11,primary/middle school,currently married,1,0.475,-1.0409124148359898
1770,0.533117592334747,rural,east central,29,primary/middle school,currently married,0,0.53,-0.03442659358543225
1771,0.715515851974487,rural,east central,10,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
1772,0.403276950120926,rural,karamoja,21,never attended,currently married,0,0.45,-1.4984059699498786
1773,0.267083436250687,urban,kampala,8,secondary/post-primary,never married,0,0.639,1.9602453067111254
1774,0.275290846824646,rural,karamoja,12,never attended,currently living with partner,0,0.45,-1.4984059699498786
1775,2.6398618221283,rural,central 1,18,primary/middle school,divorced or separated,0,0.54,0.14857082846012368
1776,0.515802502632141,rural,east central,11,primary/middle school,currently living with partner,1,0.53,-0.03442659358543225
1777,2.35517024993896,rural,south west,13,tertiary/post-secondary,currently married,0,0.518,-0.2540235000400994
1778,0.267083436250687,urban,kampala,13,secondary/post-primary,never married,0,0.639,1.9602453067111254
1779,0.327350169420242,urban,kampala,22,primary/middle school,currently living with partner,0,0.639,1.9602453067111254
1780,0.393813788890839,urban,kampala,36,tertiary/post-secondary,currently married,0,0.639,1.9602453067111254
1781,1.08199954032898,rural,east central,38,primary/middle school,currently married,0,0.53,-0.03442659358543225
1782,1.32109415531158,rural,north,10,primary/middle school,never married,0,0.475,-1.0409124148359898
1783,2.03499150276184,rural,east central,13,secondary/post-primary,currently living with partner,0,0.53,-0.03442659358543225
1784,1.27499651908875,rural,central 2,37,never attended,currently living with partner,0,0.586,0.990358969869679
1785,2.90652441978455,rural,central 2,17,primary/middle school,currently living with partner,0,0.586,0.990358969869679
1786,1.2542210817337,rural,eastern,27,primary/middle school,currently married,0,0.526,-0.10762556240365462
1787,0.806391000747681,rural,central 1,17,primary/middle school,currently living with partner,1,0.54,0.14857082846012368
1788,0.790351390838623,rural,central 2,16,primary/middle school,currently living with partner,0,0.586,0.990358969869679
1789,0.562493979930878,rural,east central,18,primary/middle school,currently living with partner,1,0.53,-0.03442659358543225
1790,0.963616847991943,rural,south west,27,primary/middle school,never married,0,0.518,-0.2540235000400994
1791,0.515802502632141,rural,east central,23,primary/middle school,currently married,0,0.53,-0.03442659358543225
1792,0.813002467155457,rural,west nile,18,primary/middle school,currently married,0,0.486,-0.8396152505858784
1793,1.76136827468872,rural,central 2,17,never attended,currently living with partner,0,0.586,0.990358969869679
1794,0.726765990257263,rural,west nile,27,primary/middle school,currently married,0,0.486,-0.8396152505858784
1795,2.20405745506287,rural,eastern,11,secondary/post-primary,never married,0,0.526,-0.10762556240365462
1796,0.663531422615051,rural,north,21,primary/middle school,currently married,0,0.475,-1.0409124148359898
1797,0.462453693151474,rural,west nile,17,primary/middle school,currently married,0,0.486,-0.8396152505858784
1798,0.356312274932861,urban,kampala,23,secondary/post-primary,currently living with partner,1,0.639,1.9602453067111254
1799,0.562493979930878,rural,east central,17,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
1800,1.27649021148682,rural,eastern,38,primary/middle school,currently living with partner,0,0.526,-0.10762556240365462
1801,1.17406678199768,rural,western,28,primary/middle school,currently living with partner,0,0.499,-0.6017186019266556
1802,0.688387393951416,rural,south west,28,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
1803,1.96849310398102,rural,central 1,11,secondary/post-primary,never married,0,0.54,0.14857082846012368
1804,1.10343849658966,rural,south west,35,never attended,currently living with partner,0,0.518,-0.2540235000400994
1805,1.76136827468872,rural,central 2,9,secondary/post-primary,currently living with partner,0,0.586,0.990358969869679
1806,1.2542210817337,rural,eastern,41,never attended,currently married,0,0.526,-0.10762556240365462
1807,0.275290846824646,rural,karamoja,16,never attended,currently married,0,0.45,-1.4984059699498786
1808,0.533117592334747,rural,east central,17,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
1809,2.6398618221283,rural,central 1,17,secondary/post-primary,divorced or separated,0,0.54,0.14857082846012368
1810,0.708830237388611,rural,north,11,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
1811,0.21186837553978,urban,kampala,24,tertiary/post-secondary,divorced or separated,0,0.639,1.9602453067111254
1812,1.27499651908875,rural,central 2,20,primary/middle school,divorced or separated,0,0.586,0.990358969869679
1813,1.16218483448029,urban,north,22,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
1814,0.868455708026886,rural,north,12,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
1815,1.08436417579651,rural,eastern,17,secondary/post-primary,currently married,0,0.526,-0.10762556240365462
1816,1.62163639068604,urban,central 1,20,secondary/post-primary,currently living with partner,0,0.54,0.14857082846012368
1817,1.62163639068604,urban,central 1,40,primary/middle school,currently living with partner,0,0.54,0.14857082846012368
1818,1.03977906703949,rural,west nile,15,primary/middle school,divorced or separated,0,0.486,-0.8396152505858784
1819,2.20405745506287,rural,eastern,39,never attended,currently living with partner,0,0.526,-0.10762556240365462
1820,0.785676836967468,rural,western,18,secondary/post-primary,currently living with partner,0,0.499,-0.6017186019266556
1821,0.474608927965164,urban,kampala,17,primary/middle school,currently living with partner,0,0.639,1.9602453067111254
1822,1.51590502262115,rural,eastern,31,primary/middle school,currently married,0,0.526,-0.10762556240365462
1823,0.7029869556427,rural,north,28,never attended,currently married,1,0.475,-1.0409124148359898
1824,0.515802502632141,rural,east central,40,never attended,divorced or separated,0,0.53,-0.03442659358543225
1825,1.23874318599701,rural,eastern,12,primary/middle school,currently married,0,0.526,-0.10762556240365462
1826,2.01047205924988,rural,eastern,33,primary/middle school,divorced or separated,0,0.526,-0.10762556240365462
1827,0.790351390838623,rural,central 2,39,primary/middle school,widow or widower,0,0.586,0.990358969869679
1828,0.783331871032715,rural,east central,14,secondary/post-primary,currently living with partner,0,0.53,-0.03442659358543225
1829,1.08199954032898,rural,east central,29,primary/middle school,divorced or separated,0,0.53,-0.03442659358543225
1830,1.00986623764038,rural,east central,9,secondary/post-primary,never married,0,0.53,-0.03442659358543225
1831,1.27590298652649,rural,central 2,28,never attended,currently married,1,0.586,0.990358969869679
1832,1.14116489887238,rural,central 2,31,primary/middle school,currently married,0,0.586,0.990358969869679
1833,2.90652441978455,rural,central 2,14,primary/middle school,currently living with partner,0,0.586,0.990358969869679
1834,0.387008875608444,urban,kampala,17,tertiary/post-secondary,currently married,0,0.639,1.9602453067111254
1835,0.9742192029953,rural,central 2,33,primary/middle school,never married,0,0.586,0.990358969869679
1836,1.03977906703949,rural,west nile,35,primary/middle school,currently living with partner,0,0.486,-0.8396152505858784
1837,0.688387393951416,rural,south west,21,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
1838,1.27590298652649,rural,central 2,26,primary/middle school,currently living with partner,0,0.586,0.990358969869679
1839,0.743305802345276,urban,east central,17,secondary/post-primary,currently living with partner,0,0.53,-0.03442659358543225
1840,1.91893446445465,rural,western,11,primary/middle school,currently married,0,0.499,-0.6017186019266556
1841,0.403276950120926,rural,karamoja,30,never attended,currently married,0,0.45,-1.4984059699498786
1842,0.221876218914986,rural,karamoja,19,secondary/post-primary,currently married,0,0.45,-1.4984059699498786
1843,0.21895606815815,urban,kampala,22,secondary/post-primary,never married,0,0.639,1.9602453067111254
1844,1.76136827468872,rural,central 2,12,never attended,currently living with partner,0,0.586,0.990358969869679
1845,0.267083436250687,urban,kampala,33,tertiary/post-secondary,currently married,0,0.639,1.9602453067111254
1846,3.62319445610046,urban,central 2,13,tertiary/post-secondary,never married,0,0.586,0.990358969869679
1847,1.10343849658966,rural,south west,27,never attended,currently living with partner,0,0.518,-0.2540235000400994
1848,0.533117592334747,rural,east central,18,primary/middle school,currently living with partner,1,0.53,-0.03442659358543225
1849,0.9742192029953,rural,central 2,32,primary/middle school,currently living with partner,0,0.586,0.990358969869679
1850,0.459849834442139,rural,east central,23,primary/middle school,currently married,0,0.53,-0.03442659358543225
1851,1.08436417579651,rural,eastern,12,primary/middle school,currently living with partner,0,0.526,-0.10762556240365462
1852,0.393813788890839,urban,kampala,15,secondary/post-primary,currently married,0,0.639,1.9602453067111254
1853,0.21895606815815,urban,kampala,13,secondary/post-primary,currently married,0,0.639,1.9602453067111254
1854,0.880152344703674,rural,north,34,never attended,widow or widower,0,0.475,-1.0409124148359898
1855,0.462453693151474,rural,west nile,38,primary/middle school,currently married,0,0.486,-0.8396152505858784
1856,2.20405745506287,rural,eastern,26,never attended,divorced or separated,0,0.526,-0.10762556240365462
1857,0.521850943565369,urban,kampala,22,secondary/post-primary,divorced or separated,0,0.639,1.9602453067111254
1858,0.624094724655151,rural,south west,40,never attended,currently living with partner,0,0.518,-0.2540235000400994
1859,0.708830237388611,rural,north,32,primary/middle school,currently married,0,0.475,-1.0409124148359898
1860,0.71438992023468,rural,south west,32,primary/middle school,currently living with partner,1,0.518,-0.2540235000400994
1861,1.27499651908875,rural,central 2,19,primary/middle school,currently living with partner,0,0.586,0.990358969869679
1862,0.663531422615051,rural,north,14,primary/middle school,currently married,1,0.475,-1.0409124148359898
1863,3.62319445610046,urban,central 2,11,secondary/post-primary,currently living with partner,0,0.586,0.990358969869679
1864,1.23874318599701,rural,eastern,40,primary/middle school,currently living with partner,0,0.526,-0.10762556240365462
1865,0.573298931121826,rural,north,22,secondary/post-primary,currently living with partner,0,0.475,-1.0409124148359898
1866,1.17406678199768,rural,western,21,never attended,currently living with partner,0,0.499,-0.6017186019266556
1867,0.267083436250687,urban,kampala,25,secondary/post-primary,divorced or separated,0,0.639,1.9602453067111254
1868,0.790351390838623,rural,central 2,33,secondary/post-primary,currently married,0,0.586,0.990358969869679
1869,1.16218483448029,urban,north,12,secondary/post-primary,currently living with partner,0,0.475,-1.0409124148359898
1870,1.62227714061737,rural,eastern,31,primary/middle school,currently married,1,0.526,-0.10762556240365462
1871,0.708830237388611,rural,north,23,primary/middle school,currently married,0,0.475,-1.0409124148359898
1872,0.605311870574951,rural,north,12,primary/middle school,divorced or separated,0,0.475,-1.0409124148359898
1873,1.27499651908875,rural,central 2,39,never attended,currently living with partner,0,0.586,0.990358969869679
1874,0.880152344703674,rural,north,10,primary/middle school,currently living with partner,1,0.475,-1.0409124148359898
1875,0.320326715707779,urban,karamoja,12,secondary/post-primary,currently married,0,0.45,-1.4984059699498786
1876,0,rural,east central,29,tertiary/post-secondary,currently living with partner,0,0.53,-0.03442659358543225
1877,2.03499150276184,rural,east central,10,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
1878,0.71438992023468,rural,south west,30,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
1879,1.2955139875412,urban,central 1,29,secondary/post-primary,divorced or separated,0,0.54,0.14857082846012368
1880,2.35517024993896,rural,south west,38,tertiary/post-secondary,divorced or separated,0,0.518,-0.2540235000400994
1881,0.783331871032715,rural,east central,15,primary/middle school,divorced or separated,1,0.53,-0.03442659358543225
1882,1.23874318599701,rural,eastern,38,never attended,currently married,1,0.526,-0.10762556240365462
1883,0.403276950120926,rural,karamoja,15,never attended,currently married,0,0.45,-1.4984059699498786
1884,2.01047205924988,rural,eastern,22,never attended,currently married,1,0.526,-0.10762556240365462
1885,0.451668053865433,urban,kampala,31,secondary/post-primary,divorced or separated,0,0.639,1.9602453067111254
1886,0.708830237388611,rural,north,39,primary/middle school,currently married,0,0.475,-1.0409124148359898
1887,0.184424161911011,rural,karamoja,32,never attended,currently married,0,0.45,-1.4984059699498786
1888,0.624094724655151,rural,south west,12,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
1889,0.963616847991943,rural,south west,15,tertiary/post-secondary,currently living with partner,0,0.518,-0.2540235000400994
1890,1.23874318599701,rural,eastern,8,primary/middle school,never married,0,0.526,-0.10762556240365462
1891,0.405174255371094,rural,east central,18,primary/middle school,currently married,0,0.53,-0.03442659358543225
1892,0.605311870574951,rural,north,22,primary/middle school,currently married,0,0.475,-1.0409124148359898
1893,1.04114174842834,rural,western,22,primary/middle school,currently living with partner,0,0.499,-0.6017186019266556
1894,0.327350169420242,urban,kampala,10,secondary/post-primary,never married,0,0.639,1.9602453067111254
1895,1.74646699428558,rural,western,13,secondary/post-primary,never married,0,0.499,-0.6017186019266556
1896,1.27649021148682,rural,eastern,17,primary/middle school,currently living with partner,0,0.526,-0.10762556240365462
1897,0.890749514102936,rural,south west,21,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
1898,0.875412702560425,rural,western,28,primary/middle school,currently married,0,0.499,-0.6017186019266556
1899,0.870838284492493,urban,west nile,14,primary/middle school,divorced or separated,0,0.486,-0.8396152505858784
1900,1.27499651908875,rural,central 2,17,primary/middle school,currently living with partner,0,0.586,0.990358969869679
1901,0.890749514102936,rural,south west,12,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
1902,1.26523149013519,urban,central 2,15,secondary/post-primary,currently living with partner,1,0.586,0.990358969869679
1903,0.97249847650528,rural,eastern,15,tertiary/post-secondary,currently living with partner,0,0.526,-0.10762556240365462
1904,1.2542210817337,rural,eastern,9,primary/middle school,currently married,0,0.526,-0.10762556240365462
1905,0.875412702560425,rural,western,7,primary/middle school,never married,0,0.499,-0.6017186019266556
1906,0.732630848884583,rural,north,18,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
1907,0.868455708026886,rural,north,16,primary/middle school,currently living with partner,1,0.475,-1.0409124148359898
1908,0.267083436250687,urban,kampala,22,tertiary/post-secondary,never married,0,0.639,1.9602453067111254
1909,1.73442399501801,rural,eastern,16,primary/middle school,currently married,0,0.526,-0.10762556240365462
1910,0.71438992023468,rural,south west,14,primary/middle school,divorced or separated,0,0.518,-0.2540235000400994
1911,0.783331871032715,rural,east central,12,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
1912,1.14116489887238,rural,central 2,9,primary/middle school,currently living with partner,0,0.586,0.990358969869679
1913,0.963616847991943,rural,south west,22,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
1914,1.17406678199768,rural,western,36,never attended,currently living with partner,0,0.499,-0.6017186019266556
1915,0.21895606815815,urban,kampala,23,primary/middle school,currently living with partner,1,0.639,1.9602453067111254
1916,1.08199954032898,rural,east central,16,primary/middle school,currently married,0,0.53,-0.03442659358543225
1917,0.387008875608444,urban,kampala,11,secondary/post-primary,currently married,0,0.639,1.9602453067111254
1918,0.391579538583755,urban,kampala,13,tertiary/post-secondary,never married,0,0.639,1.9602453067111254
1919,0.649448990821838,urban,kampala,16,secondary/post-primary,currently living with partner,0,0.639,1.9602453067111254
1920,0.783331871032715,rural,east central,18,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
1921,2.03499150276184,rural,east central,26,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
1922,0.521850943565369,urban,kampala,13,primary/middle school,never married,0,0.639,1.9602453067111254
1923,1.03977906703949,rural,west nile,11,primary/middle school,currently married,0,0.486,-0.8396152505858784
1924,0.569035053253174,urban,east central,15,primary/middle school,currently married,0,0.53,-0.03442659358543225
1925,0.806391000747681,rural,central 1,12,secondary/post-primary,never married,0,0.54,0.14857082846012368
1926,0.743305802345276,urban,east central,7,secondary/post-primary,never married,0,0.53,-0.03442659358543225
1927,0.184424161911011,rural,karamoja,11,secondary/post-primary,currently married,0,0.45,-1.4984059699498786
1928,0.708830237388611,rural,north,13,primary/middle school,currently married,0,0.475,-1.0409124148359898
1929,1.16218483448029,urban,north,18,primary/middle school,divorced or separated,0,0.475,-1.0409124148359898
1930,1.91893446445465,rural,western,23,primary/middle school,currently living with partner,0,0.499,-0.6017186019266556
1931,0.768798232078552,rural,central 2,22,never attended,currently living with partner,0,0.586,0.990358969869679
1932,0.393813788890839,urban,kampala,14,tertiary/post-secondary,never married,1,0.639,1.9602453067111254
1933,0.356312274932861,urban,kampala,9,secondary/post-primary,currently living with partner,0,0.639,1.9602453067111254
1934,0.743071973323822,urban,eastern,21,secondary/post-primary,currently married,1,0.526,-0.10762556240365462
1935,0.533117592334747,rural,east central,16,primary/middle school,currently living with partner,1,0.53,-0.03442659358543225
1936,0.735556721687317,rural,south west,41,never attended,currently living with partner,0,0.518,-0.2540235000400994
1937,1.03977906703949,rural,west nile,6,primary/middle school,never married,0,0.486,-0.8396152505858784
1938,0.533117592334747,rural,east central,13,secondary/post-primary,never married,0,0.53,-0.03442659358543225
1939,0.97249847650528,rural,eastern,12,secondary/post-primary,currently living with partner,0,0.526,-0.10762556240365462
1940,0.890749514102936,rural,south west,14,tertiary/post-secondary,currently married,0,0.518,-0.2540235000400994
1941,0.391579538583755,urban,kampala,26,tertiary/post-secondary,currently married,0,0.639,1.9602453067111254
